scheme,d,rep,verify_us
rechain,24,90,1490.82
rechain,24,91,1789.37
rechain,24,92,1630.56
rechain,24,93,2239.97
rechain,24,94,1705.40
rechain,24,95,1820.03
rechain,24,96,1428.29
rechain,24,97,2956.48
rechain,24,98,1288.52
rechain,24,99,1520.75
rechain,32,0,3890.90
rechain,32,1,1905.23
rechain,32,2,2173.59
rechain,32,3,2110.22
rechain,32,4,3178.98
rechain,32,5,3342.64
rechain,32,6,1769.10
rechain,32,7,2086.01
rechain,32,8,3458.24
rechain,32,9,1737.40
rechain,32,10,2560.68
rechain,32,11,2266.10
rechain,32,12,2196.66
rechain,32,13,2255.78
rechain,32,14,1779.36
rechain,32,15,1989.46
rechain,32,16,1694.73
rechain,32,17,2006.31
rechain,32,18,4258.70
rechain,32,19,1628.83
rechain,32,20,1977.80
rechain,32,21,2004.58
rechain,32,22,2491.76
rechain,32,23,2107.62
rechain,32,24,1832.31
rechain,32,25,1766.98
rechain,32,26,1994.86
rechain,32,27,2009.37
rechain,32,28,2551.32
rechain,32,29,2926.55
rechain,32,30,2066.57
rechain,32,31,1990.67
rechain,32,32,2186.20
rechain,32,33,2923.67
rechain,32,34,3023.69
rechain,32,35,2534.24
rechain,32,36,2458.42
rechain,32,37,2248.40
rechain,32,38,2004.10
rechain,32,39,1935.05
rechain,32,40,3460.99
rechain,32,41,5074.66
rechain,32,42,2467.07
rechain,32,43,6667.86
rechain,32,44,4105.04
rechain,32,45,3456.42
rechain,32,46,3857.77
rechain,32,47,1861.59
rechain,32,48,2689.71
rechain,32,49,3026.72
rechain,32,50,1917.22
rechain,32,51,2810.61
rechain,32,52,3458.33
rechain,32,53,2291.87
rechain,32,54,1867.49
rechain,32,55,2243.27
rechain,32,56,3876.71
rechain,32,57,2724.14
rechain,32,58,4267.76
rechain,32,59,5327.11
rechain,32,60,4565.14
rechain,32,61,8482.27
rechain,32,62,3980.59
rechain,32,63,2095.71
rechain,32,64,2528.99
rechain,32,65,2082.62
rechain,32,66,2818.40
rechain,32,67,4409.05
rechain,32,68,2161.80
rechain,32,69,2028.90
rechain,32,70,2345.82
rechain,32,71,2194.99
rechain,32,72,3302.86
rechain,32,73,2322.14
rechain,32,74,1985.28
rechain,32,75,3286.18
rechain,32,76,2581.88
rechain,32,77,5657.16
rechain,32,78,3027.29
rechain,32,79,2323.98
rechain,32,80,2499.52
rechain,32,81,2411.86
rechain,32,82,3454.61
rechain,32,83,1991.99
rechain,32,84,6060.08
rechain,32,85,2058.92
rechain,32,86,1831.97
rechain,32,87,2237.61
rechain,32,88,2154.57
rechain,32,89,2144.25
rechain,32,90,2389.03
rechain,32,91,4044.11
rechain,32,92,2353.30
rechain,32,93,1771.55
rechain,32,94,2037.36
rechain,32,95,2362.36
rechain,32,96,2216.97
rechain,32,97,3701.69
rechain,32,98,2127.27
rechain,32,99,2083.30
rechain,48,0,3278.04
rechain,48,1,4696.61
rechain,48,2,5827.42
rechain,48,3,3262.55
rechain,48,4,4480.43
rechain,48,5,6866.18
rechain,48,6,3682.98
rechain,48,7,2632.59
rechain,48,8,4185.28
rechain,48,9,5537.59
rechain,48,10,2868.29
rechain,48,11,3682.76
rechain,48,12,5305.84
rechain,48,13,4219.37
rechain,48,14,3774.76
rechain,48,15,2857.97
rechain,48,16,3232.18
rechain,48,17,4774.97
rechain,48,18,4415.23
rechain,48,19,3250.50
rechain,48,20,3607.54
rechain,48,21,3248.33
rechain,48,22,3812.93
rechain,48,23,3321.60
rechain,48,24,5593.82
rechain,48,25,3247.64
rechain,48,26,3600.53
rechain,48,27,2889.40
rechain,48,28,3683.87
rechain,48,29,4773.05
rechain,48,30,4786.11
rechain,48,31,3167.37
rechain,48,32,7020.19
rechain,48,33,2942.86
rechain,48,34,4292.12
rechain,48,35,3331.33
rechain,48,36,3483.71
rechain,48,37,2982.35
rechain,48,38,4230.31
rechain,48,39,3508.75
rechain,48,40,3268.50
rechain,48,41,3083.81
rechain,48,42,3794.56
rechain,48,43,5513.89
rechain,48,44,8683.13
rechain,48,45,7406.02
rechain,48,46,5218.72
rechain,48,47,3349.35
rechain,48,48,3270.09
rechain,48,49,3083.23
rechain,48,50,3811.32
rechain,48,51,4895.22
rechain,48,52,2841.07
rechain,48,53,5113.10
rechain,48,54,5417.13
rechain,48,55,3143.35
rechain,48,56,3994.19
rechain,48,57,2865.94
rechain,48,58,3462.60
rechain,48,59,3672.31
rechain,48,60,2875.20
rechain,48,61,3088.51
rechain,48,62,2973.74
rechain,48,63,4877.05
rechain,48,64,3296.26
rechain,48,65,3129.27
rechain,48,66,4453.76
rechain,48,67,6385.62
rechain,48,68,3590.09
rechain,48,69,3888.50
rechain,48,70,6120.75
rechain,48,71,3653.18
rechain,48,72,4872.51
rechain,48,73,3352.29
rechain,48,74,4253.02
rechain,48,75,4363.40
rechain,48,76,5221.39
rechain,48,77,3222.91
rechain,48,78,3633.38
rechain,48,79,3148.75
rechain,48,80,2961.63
rechain,48,81,2548.36
rechain,48,82,2838.70
rechain,48,83,2684.76
rechain,48,84,3057.21
rechain,48,85,3452.77
rechain,48,86,3539.14
rechain,48,87,3038.77
rechain,48,88,3142.12
rechain,48,89,3138.81
rechain,48,90,3785.28
rechain,48,91,4258.52
