scheme,d,rep,verify_us
evmldsa,0,143,55.76
evmldsa,0,144,56.44
evmldsa,0,145,55.76
evmldsa,0,146,55.58
evmldsa,0,147,56.06
evmldsa,0,148,55.60
evmldsa,0,149,55.52
evmldsa,0,150,56.05
evmldsa,0,151,56.12
evmldsa,0,152,56.18
evmldsa,0,153,60.05
evmldsa,0,154,830.26
evmldsa,0,155,67.53
evmldsa,0,156,47.41
evmldsa,0,157,46.96
evmldsa,0,158,47.21
evmldsa,0,159,46.73
evmldsa,0,160,46.74
evmldsa,0,161,53.03
evmldsa,0,162,61.71
evmldsa,0,163,57.67
evmldsa,0,164,58.04
evmldsa,0,165,57.03
evmldsa,0,166,57.75
evmldsa,0,167,57.23
evmldsa,0,168,60.97
evmldsa,0,169,61.98
evmldsa,0,170,71.83
evmldsa,0,171,96.83
evmldsa,0,172,95.44
evmldsa,0,173,87.99
evmldsa,0,174,68.05
evmldsa,0,175,60.60
evmldsa,0,176,72.66
evmldsa,0,177,120.71
evmldsa,0,178,106.92
evmldsa,0,179,99.69
evmldsa,0,180,83.55
evmldsa,0,181,80.37
evmldsa,0,182,62.40
evmldsa,0,183,59.90
evmldsa,0,184,66.69
evmldsa,0,185,66.77
evmldsa,0,186,109.05
evmldsa,0,187,84.79
evmldsa,0,188,58.96
evmldsa,0,189,59.04
evmldsa,0,190,51.59
evmldsa,0,191,50.95
evmldsa,0,192,51.64
evmldsa,0,193,51.51
evmldsa,0,194,59.30
evmldsa,0,195,51.54
evmldsa,0,196,57.92
evmldsa,0,197,52.74
evmldsa,0,198,53.66
evmldsa,0,199,56.83
evmldsa,0,200,54.72
evmldsa,0,201,57.58
evmldsa,0,202,57.58
evmldsa,0,203,66.19
evmldsa,0,204,57.09
evmldsa,0,205,56.77
evmldsa,0,206,57.69
evmldsa,0,207,60.14
evmldsa,0,208,59.74
evmldsa,0,209,59.90
evmldsa,0,210,61.58
evmldsa,0,211,60.84
evmldsa,0,212,61.13
evmldsa,0,213,65.68
evmldsa,0,214,67.74
evmldsa,0,215,66.52
evmldsa,0,216,66.46
evmldsa,0,217,66.80
evmldsa,0,218,67.76
evmldsa,0,219,70.62
